type,name,category,city,capacity,price_range,rating,contact_email,price
Vendor,Spectrum 22,Hotel,Vancouver,42,$,3.1,vendor22@example.com,50
Vendor,Helix 238,Catering,Los Angeles,75,$,3.0,vendor238@example.com,50
Vendor,Stratus 241,Conference Center,Vancouver,74,$$,3.2,vendor241@example.com,150
Vendor,Vertex 161,AV,Toronto,88,$$,5.0,vendor161@example.com,150
Venue,Harbor 412,Catering,Boston,287,$$,3.7,venue412@example.com,150
Vendor,Radiant 179,Outdoor,Chicago,25,$$$$,4.8,vendor179@example.com,500
Vendor,Nova 127,Theater,New York,14,$$,3.6,vendor127@example.com,150
Vendor,Nova 14,Outdoor,Toronto,73,$$$$,4.1,vendor14@example.com,500
Vendor,Lynx 360,Hotel,Los Angeles,99,$$,3.6,vendor360@example.com,150
Venue,Cascade 137,Security,Los Angeles,1890,$$$,4.8,venue137@example.com,300
Vendor,Helix 312,Photography,Boston,53,$$$$,4.0,vendor312@example.com,500
Venue,Echo 77,Security,New York,824,$$$$,4.9,venue77@example.com,500
Vendor,Lyra 137,Photography,Boston,46,$,3.8,vendor137@example.com,50
Vendor,Phoenix 474,Hotel,Toronto,24,$$$$,3.4,vendor474@example.com,500
Vendor,Stratus 439,Community Hall,Vancouver,63,$,4.6,vendor439@example.com,50
Vendor,Comet 400,Hotel,Chicago,96,$,3.4,vendor400@example.com,50
Venue,Vertex 281,Hotel,Boston,1685,$$$$,4.5,venue281@example.com,500
Vendor,Nimbus 384,Community Hall,New York,56,$,4.2,vendor384@example.com,50
Vendor,Helix 262,Hotel,Chicago,30,$$$$,5.0,vendor262@example.com,500
Venue,Oasis 320,Photography,Los Angeles,1486,$$$,4.2,venue320@example.com,300
Vendor,Echo 50,Catering,Toronto,92,$,3.1,vendor50@example.com,50
Venue,Summit 175,Decoration,New York,848,$$$,4.2,venue175@example.com,300
Venue,Vertex 372,Hotel,Los Angeles,766,$$$$,3.1,venue372@example.com,500
Vendor,Nova 28,Catering,Boston,37,$$$$,3.1,vendor28@example.com,500
Venue,Harbor 211,Community Hall,Vancouver,1778,$$,4.3,venue211@example.com,150
Venue,Vertex 236,Security,Los Angeles,1926,$$$$,4.7,venue236@example.com,500
Venue,Harbor 102,Hotel,New York,727,$$$,3.7,venue102@example.com,300
Vendor,Lyra 487,Theater,Toronto,41,$$$,3.2,vendor487@example.com,300
Vendor,Lynx 403,Security,Boston,58,$,4.3,vendor403@example.com,50
Vendor,Helix 448,Hotel,Seattle,62,$,3.9,vendor448@example.com,50
Venue,Echo 347,Hotel,Boston,1399,$,4.6,venue347@example.com,50
Venue,Horizon 140,Hotel,New York,908,$$,4.9,venue140@example.com,150
Vendor,Echo 122,Decoration,Boston,52,$$$,4.6,vendor122@example.com,300
Venue,Momentum 500,Photography,New York,1919,$$,3.8,venue500@example.com,150
Venue,Galaxy 371,Decoration,Los Angeles,1084,$$$,3.6,venue371@example.com,300
Venue,Cascade 199,Decoration,Los Angeles,169,$$$$,4.7,venue199@example.com,500
Vendor,Orion 188,AV,Toronto,68,$$,5.0,vendor188@example.com,150
Vendor,Comet 85,Photography,New York,40,$$,4.4,vendor85@example.com,150
Vendor,Quantum 402,Conference Center,Toronto,19,$,4.2,vendor402@example.com,50
Venue,Harbor 60,Security,Los Angeles,1151,$$,4.5,venue60@example.com,150
Venue,Vista 329,Theater,Toronto,404,$$$,3.6,venue329@example.com,300
Venue,Solstice 97,AV,Boston,481,$,4.1,venue97@example.com,50
Venue,Nebula 313,AV,Vancouver,1760,$$$$,3.1,venue313@example.com,500
Vendor,Echo 475,Outdoor,Seattle,30,$,3.3,vendor475@example.com,50
Venue,Galaxy 300,Photography,Seattle,1114,$,3.7,venue300@example.com,50
Venue,Mirage 278,Outdoor,Los Angeles,1052,$$$$,3.4,venue278@example.com,500
Vendor,Nimbus 425,Outdoor,New York,98,$$$$,4.0,vendor425@example.com,500
Vendor,Helix 102,Security,Toronto,71,$$,4.6,vendor102@example.com,150
Venue,Nebula 440,Community Hall,Los Angeles,1384,$,5.0,venue440@example.com,50
Vendor,Vega 338,AV,New York,21,$$,3.7,vendor338@example.com,150
Vendor,Lumen 71,Outdoor,Vancouver,61,$$$,3.8,vendor71@example.com,300
Vendor,Vega 380,Theater,Boston,20,$$$$,3.9,vendor380@example.com,500
Venue,Harbor 262,Theater,Toronto,988,$$,3.3,venue262@example.com,150
Vendor,Astra 79,Outdoor,Boston,66,$$$,4.6,vendor79@example.com,300
Venue,Vertex 24,Hotel,Seattle,1329,$$$$,4.5,venue24@example.com,500
Venue,Vista 31,Security,Toronto,1269,$,4.2,venue31@example.com,50
Vendor,Lynx 118,Security,Toronto,25,$$$$,3.1,vendor118@example.com,500
Venue,Harbor 11,Photography,Boston,1761,$,4.0,venue11@example.com,50
Venue,Harbor 222,AV,Vancouver,1390,$$,4.1,venue222@example.com,150
Vendor,Cosmos 321,Outdoor,Vancouver,86,$,4.8,vendor321@example.com,50
Venue,Mirage 297,Security,Chicago,1650,$$,4.8,venue297@example.com,150
Venue,Echo 55,AV,Boston,1143,$,4.9,venue55@example.com,50
Vendor,Nimbus 43,Photography,Boston,45,$$$,4.3,vendor43@example.com,300
Venue,Harbor 210,Community Hall,Seattle,176,$,3.6,venue210@example.com,50
Vendor,Lynx 105,Theater,Vancouver,45,$$,3.4,vendor105@example.com,150
Vendor,Lumen 193,Outdoor,Los Angeles,50,$,3.6,vendor193@example.com,50
Vendor,Helix 163,Community Hall,New York,94,$$,4.0,vendor163@example.com,150
Vendor,Lumen 367,Security,New York,18,$$,4.2,vendor367@example.com,150
Venue,Eclipse 71,Community Hall,Vancouver,1027,$,3.8,venue71@example.com,50
Vendor,Orion 44,Catering,Seattle,94,$$,3.2,vendor44@example.com,150
Venue,Eclipse 108,Catering,Vancouver,694,$$$$,3.8,venue108@example.com,500
Venue,Echo 494,Catering,Los Angeles,1751,$$$$,4.1,venue494@example.com,500
Vendor,Pulse 91,Community Hall,Vancouver,26,$$$,4.9,vendor91@example.com,300
Vendor,Lyra 242,Conference Center,New York,84,$,3.2,vendor242@example.com,50
Venue,Harbor 293,Community Hall,Seattle,339,$$$,3.7,venue293@example.com,300
Venue,Odyssey 290,AV,Toronto,1992,$$$,4.3,venue290@example.com,300
